Name,Team,Age,Projected_PA,HR_Park_Factor,HR_rate_raw,age_multiplier,HR_rate_final,Projected_HR
Shohei Ohtani,LAD,31,709.5,100,0.0977,0.97,0.0948,67.2
Juan Soto,NYM,27,713.4,100,0.0911,1.02,0.0929,66.3
Kyle Schwarber,PHI,33,713.6,100,0.0873,0.93,0.0812,58
Pete Alonso,NYM,31,697.2,100,0.0836,0.97,0.0811,56.6
Aaron Judge,NYY,34,615,100,0.1045,0.88,0.0919,56.5
Bobby Witt Jr.,KCR,26,694.8,100,0.0795,1.02,0.0811,56.3
Rafael Devers,SFG,29,679,100,0.0783,1,0.0783,53.1
Matt Olson,ATL,32,711.5,100,0.0799,0.93,0.0743,52.8
Cal Raleigh,SEA,29,661.4,100,0.0798,1,0.0798,52.8
Vladimir Guerrero Jr.,TOR,27,685.5,100,0.0721,1.02,0.0736,50.4
Francisco Lindor,NYM,32,712.2,100,0.0754,0.93,0.0701,50
Julio Rodriguez,SEA,25,701.3,100,0.0678,1.05,0.0712,49.9
Corbin Carroll,ARI,25,675,100,0.0699,1.05,0.0734,49.6
Brent Rooker,ATH,31,647.6,100,0.0782,0.97,0.0758,49.1
Willy Adames,SFG,30,679.6,100,0.0722,0.97,0.0701,47.6
Manny Machado,SDP,33,656,100,0.0763,0.93,0.071,46.5
Gunnar Henderson,BAL,25,687.6,100,0.0632,1.05,0.0664,45.7
Wyatt Langford,TEX,24,584.1,100,0.0733,1.05,0.077,45
Nick Kurtz,ATH,23,503.7,100,0.083,1.07,0.0888,44.7
Agustin Ramirez,MIA,24,602.6,100,0.0707,1.05,0.0742,44.7
Fernando Tatis Jr.,SDP,27,605.2,100,0.0717,1.02,0.0732,44.3
Randy Arozarena,SEA,31,682.2,100,0.0665,0.97,0.0645,44
Riley Greene,DET,25,616.1,100,0.068,1.05,0.0714,44
Jose Ramirez,CLE,33,678.4,100,0.0694,0.93,0.0645,43.8
James Wood,WSN,23,576.4,100,0.0709,1.07,0.0758,43.7
Spencer Torkelson,DET,26,571.9,100,0.0744,1.02,0.0759,43.4
Michael Busch,CHC,28,582.8,100,0.074,1,0.074,43.2
Elly De La Cruz,CIN,24,677.9,100,0.0605,1.05,0.0635,43
Heliot Ramos,SFG,26,630.1,100,0.0667,1.02,0.068,42.8
Ian Happ,CHC,31,665.3,100,0.0662,0.97,0.0643,42.8
Oneil Cruz,PIT,27,564.2,100,0.0743,1.02,0.0757,42.7
Seiya Suzuki,CHC,31,620.8,100,0.0706,0.97,0.0685,42.5
Jackson Merrill,SDP,23,539,100,0.0735,1.07,0.0787,42.4
Anthony Volpe,NYY,25,644,100,0.0619,1.05,0.065,41.9
Eugenio Suarez,CIN,34,617.8,100,0.0769,0.88,0.0677,41.8
Taylor Ward,LAA,32,625.7,100,0.071,0.93,0.066,41.3
Gleyber Torres,DET,29,645.8,100,0.0636,1,0.0636,41.1
Pete Crow-Armstrong,CHC,24,576.9,100,0.0672,1.05,0.0706,40.7
CJ Abrams,WSN,25,640.5,100,0.0603,1.05,0.0633,40.5
Bryce Harper,PHI,33,590.7,100,0.0735,0.93,0.0683,40.4
Matt Chapman,SFG,33,576.1,100,0.0752,0.93,0.07,40.3
Ketel Marte,ARI,32,578.1,100,0.0749,0.93,0.0697,40.3
Jo Adell,LAA,27,528.3,100,0.0747,1.02,0.0762,40.2
Jazz Chisholm Jr.,NYY,28,536.9,100,0.0746,1,0.0746,40.1
Kyle Tucker,CHC,29,529.2,100,0.0755,1,0.0755,39.9
Brandon Nimmo,NYM,33,659.8,100,0.065,0.93,0.0605,39.9
Ryan McMahon,NYY,31,610.1,100,0.0674,0.97,0.0654,39.9
Jackson Chourio,MIL,22,600.6,100,0.062,1.07,0.0664,39.9
Bryan Reynolds,PIT,31,663.6,100,0.0618,0.97,0.0599,39.8
